"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"298","High Speed",NA,NA,NA,54,"White","College",1,"(40,57]","Female","Democrat"
"299","Dial-Up",0.5,0.5,"(6,8]",27,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"300","Dial-Up",NA,NA,"[1,4]",42,"White","Some College",2,"(40,57]","Female","Independent"
"301","Dial-Up",0.5,1,"(6,8]",31,"White","College",1,"[18,40]","Female","Democrat"
"302","Dial-Up",0,0,"[1,4]",92,"White","HS or Less",1,NA,"Female","Democrat"
"303",NA,NA,NA,"(6,8]",56,"White","College",1,"(40,57]","Male","Democrat"
"304",NA,NA,NA,"(6,8]",46,"Non-Whte","HS or Less",3,"(40,57]","Female","Democrat"
"305",NA,NA,NA,"[1,4]",82,"White","College",1,"(57,86]","Female","Democrat"
"306","High Speed",0,0,"(6,8]",32,"Non-Whte","College",1,"[18,40]","Female","Democrat"
"307","High Speed",1,0.5,"(6,8]",51,"White","College",1,"(40,57]","Male","Democrat"
"308","High Speed",NA,NA,"[1,4]",28,"White","College",2,"[18,40]","Female","Independent"
"309",NA,NA,NA,NA,NA,"White","College",1,NA,"Female","Repubican"
"310","Dial-Up",NA,NA,"[1,4]",33,"White","HS or Less",3,"[18,40]","Female","Democrat"
"311",NA,NA,NA,"[1,4]",80,"White","HS or Less",4,"(57,86]","Female","Independent"
"312",NA,0,0,NA,NA,"White","College",1,NA,"Male","Independent"
"313","Dial-Up",NA,NA,"(4,6]",45,"White","HS or Less",2,"(40,57]","Male","Repubican"
"314",NA,NA,NA,"[1,4]",86,"White","College",1,"(57,86]","Female","Repubican"
"315","Dial-Up",NA,NA,"[1,4]",50,"White","HS or Less",1,"(40,57]","Female","Independent"
"316","Dial-Up",NA,0,"(4,6]",60,"White","HS or Less",1,"(57,86]","Female","Democrat"
"317",NA,NA,NA,"(4,6]",70,"White","HS or Less",2,"(57,86]","Male","Repubican"
"318","Dial-Up",0,0,"[1,4]",26,"White","Some College",2,"[18,40]","Male","Independent"
"319","Dial-Up",0,0,NA,45,"White","HS or Less",1,"(40,57]","Female","Repubican"
"320",NA,0,0,NA,59,"White","College",2,"(57,86]","Male","Independent"
"321","Dial-Up",0,0,"(4,6]",32,"White","HS or Less",4,"[18,40]","Female","Independent"
"322","High Speed",0,0,"(6,8]",46,"White","College",1,"(40,57]","Male","Democrat"
"323","Dial-Up",0,0,"(6,8]",56,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"324","Dial-Up",NA,NA,"[1,4]",23,"White","Some College",1,"[18,40]","Male","Independent"
"325","Dial-Up",0,0,"(6,8]",55,"White","College",3,"(40,57]","Male","Repubican"
"326",NA,NA,NA,NA,NA,"Non-Whte",NA,1,NA,"Male","Independent"
"327","Dial-Up",NA,NA,"(4,6]",43,"White","Some College",1,"(40,57]","Female","Repubican"
"328","Dial-Up",0,0,"(4,6]",32,"White","HS or Less",2,"[18,40]","Female","Repubican"
"329",NA,NA,NA,"(6,8]",62,"White","College",1,"(57,86]","Female","Democrat"
"330",NA,NA,NA,NA,71,"White",NA,1,"(57,86]","Female","Democrat"
"331",NA,NA,NA,"(4,6]",46,"White","College",1,"(40,57]","Male","Democrat"
"332",NA,NA,NA,"[1,4]",63,"White","HS or Less",2,"(57,86]","Male","Democrat"
"333",NA,NA,NA,"(4,6]",28,"White","Some College",2,"[18,40]","Female","Democrat"
"334",NA,0,0,"(4,6]",23,"Non-Whte","HS or Less",4,"[18,40]","Male","Democrat"
"335","High Speed",NA,NA,NA,28,"White","Some College",4,"[18,40]","Male","Democrat"
"336",NA,NA,NA,"[1,4]",52,"Non-Whte","HS or Less",2,"(40,57]","Male","Democrat"
"337","Dial-Up",NA,NA,"[1,4]",79,"White","College",1,"(57,86]","Male","Democrat"
"338","Dial-Up",0,0,"[1,4]",38,"White","Some College",2,"[18,40]","Male","Democrat"
"339",NA,NA,NA,"[1,4]",82,"White","HS or Less",1,"(57,86]","Female","Democrat"
"340",NA,NA,NA,"[1,4]",83,"White","College",1,"(57,86]","Female","Democrat"
"341",NA,NA,NA,"[1,4]",65,"Non-Whte","HS or Less",2,"(57,86]","Male","Democrat"
"342",NA,NA,NA,"[1,4]",50,"Non-Whte","HS or Less",2,"(40,57]","Male","Democrat"
"343",NA,NA,NA,"(6,8]",63,"Non-Whte","HS or Less",1,"(57,86]","Female","Democrat"
"344","High Speed",0,0,"[1,4]",31,"White","College",3,"[18,40]","Male","Independent"
"345",NA,NA,NA,"[1,4]",52,"White","Some College",2,"(40,57]","Male","Repubican"
"346","High Speed",0,1,"[1,4]",22,"White","HS or Less",1,"[18,40]","Male","Independent"
"347","Dial-Up",0,0,"(6,8]",27,"White","HS or Less",4,"[18,40]","Female","Democrat"
"348","Dial-Up",NA,NA,"[1,4]",52,"White","HS or Less",2,"(40,57]","Female","Repubican"
"349",NA,NA,NA,"[1,4]",44,"White","HS or Less",1,"(40,57]","Female","Democrat"
"350","High Speed",1,1,"[1,4]",33,"White","Some College",1,"[18,40]","Male","Independent"
"351",NA,NA,NA,NA,65,"White","Some College",1,"(57,86]","Female","Repubican"
"352","Dial-Up",NA,NA,"[1,4]",56,"White","Some College",3,"(40,57]","Male","Independent"
"353","High Speed",NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Repubican"
"354",NA,NA,NA,NA,20,"White","Some College",4,"[18,40]","Female","Repubican"
"355",NA,NA,NA,"(4,6]",45,"White","HS or Less",1,"(40,57]","Male","Repubican"
"356",NA,NA,NA,NA,75,"White","HS or Less",2,"(57,86]","Female","Democrat"
"357",NA,NA,NA,"(4,6]",89,"White","College",1,NA,"Female","Repubican"
"358",NA,NA,NA,NA,55,"White","HS or Less",2,"(40,57]","Male","Democrat"
"359","High Speed",NA,NA,"(6,8]",55,"White","HS or Less",1,"(40,57]","Female","Repubican"
"360",NA,NA,NA,"[1,4]",66,"White","HS or Less",1,"(57,86]","Male","Independent"
"361",NA,NA,NA,NA,NA,"Non-Whte","College",1,NA,"Male","Independent"
"362",NA,NA,NA,"(4,6]",50,"White","HS or Less",2,"(40,57]","Female","Democrat"
"363","High Speed",NA,NA,"(6,8]",42,"White","College",1,"(40,57]","Male","Independent"
"364",NA,NA,NA,"[1,4]",23,"White","Some College",1,"[18,40]","Male","Independent"
"365","Dial-Up",NA,NA,"[1,4]",47,"Non-Whte","HS or Less",4,"(40,57]","Female","Democrat"
"366",NA,NA,NA,"[1,4]",78,"White","HS or Less",1,"(57,86]","Male","Democrat"
"367",NA,NA,NA,NA,18,"Non-Whte","HS or Less",1,"[18,40]","Female","Independent"
"368",NA,NA,NA,"[1,4]",50,"White","HS or Less",2,"(40,57]","Female","Democrat"
"369","Dial-Up",NA,NA,"[1,4]",67,"White","College",2,"(57,86]","Male","Independent"
"370",NA,NA,NA,NA,19,"Non-Whte","HS or Less",3,"[18,40]","Male","Independent"
"371","High Speed",0,0,"(6,8]",36,"White","Some College",1,"[18,40]","Male","Repubican"
"372",NA,0,0,"(4,6]",32,"White","College",1,"[18,40]","Male","Repubican"
"373","Dial-Up",0,0,"[1,4]",58,"White","HS or Less",2,"(57,86]","Female","Democrat"
"374",NA,NA,NA,"[1,4]",47,"Non-Whte","HS or Less",3,"(40,57]","Male","Democrat"
"375",NA,NA,NA,NA,68,"Non-Whte","Some College",1,"(57,86]","Female","Independent"
"376",NA,0,0,NA,53,"White","College",1,"(40,57]","Female","Independent"
"377","Dial-Up",0,0,"[1,4]",50,"White","Some College",3,"(40,57]","Female","Repubican"
"378",NA,NA,NA,"[1,4]",83,"White","HS or Less",1,"(57,86]","Female","Independent"
"379","High Speed",NA,NA,"[1,4]",31,"Non-Whte","Some College",2,"[18,40]","Female","Independent"
"380","Dial-Up",0,0,"[1,4]",40,"White","HS or Less",2,"[18,40]","Female","Democrat"
"381",NA,NA,NA,NA,49,"White","Some College",1,"(40,57]","Female","Democrat"
"382","Dial-Up",NA,NA,"(4,6]",59,"White","College",1,"(57,86]","Female","Independent"
"383","High Speed",NA,NA,"[1,4]",81,"White","HS or Less",1,"(57,86]","Female","Democrat"
"384",NA,0,0,"(4,6]",32,"White","College",1,"[18,40]","Male","Independent"
"385","Dial-Up",0,0,"[1,4]",59,"White","HS or Less",1,"(57,86]","Female","Democrat"
"386",NA,NA,NA,NA,47,"White","HS or Less",3,"(40,57]","Female","Independent"
"387","High Speed",0,0,"(6,8]",56,"White","College",1,"(40,57]","Male","Independent"
"388",NA,NA,NA,NA,54,"White","HS or Less",1,"(40,57]","Male","Repubican"
"389",NA,NA,NA,"(4,6]",35,"White","College",1,"[18,40]","Female","Repubican"
"390","Dial-Up",NA,NA,"[1,4]",33,"Non-Whte","Some College",3,"[18,40]","Female","Democrat"
"391","Dial-Up",0,0,NA,75,"White","HS or Less",1,"(57,86]","Female","Democrat"
"392",NA,0,0,"[1,4]",50,"White","College",1,"(40,57]","Female","Democrat"
"393",NA,NA,NA,"[1,4]",18,"White","HS or Less",1,"[18,40]","Male","Repubican"
"394",NA,NA,NA,"[1,4]",46,"White","HS or Less",2,"(40,57]","Female","Independent"
"395",NA,NA,NA,"[1,4]",70,"Non-Whte","College",1,"(57,86]","Male","Democrat"
"396","High Speed",0,0,"(4,6]",45,"White","College",3,"(40,57]","Male","Independent"
"397","High Speed",NA,NA,"(4,6]",53,"White","HS or Less",4,"(40,57]","Female","Independent"
"398",NA,NA,NA,"(6,8]",41,"Non-Whte","College",2,"(40,57]","Male","Democrat"
"399",NA,NA,NA,NA,83,"White","HS or Less",1,"(57,86]","Female","Democrat"
"400","Dial-Up",0,0,"(4,6]",50,"White","HS or Less",1,"(40,57]","Male","Repubican"
"401",NA,NA,NA,NA,61,"Non-Whte","Some College",1,"(57,86]","Female","Democrat"
"402","Dial-Up",0,0,"[1,4]",41,"White","HS or Less",4,"(40,57]","Male","Independent"
"403","High Speed",0,0,"(6,8]",30,"White","College",2,"[18,40]","Female","Repubican"
"404",NA,NA,NA,"[1,4]",31,"White","HS or Less",4,"[18,40]","Male","Independent"
"405",NA,NA,NA,"[1,4]",77,"White","HS or Less",1,"(57,86]","Male","Democrat"
"406",NA,NA,NA,NA,65,"White","HS or Less",2,"(57,86]","Female","Independent"
"407","High Speed",0,0,"(4,6]",65,"White","College",1,"(57,86]","Female","Repubican"
"408","Dial-Up",NA,NA,"(4,6]",50,"White","Some College",1,"(40,57]","Male","Repubican"
"409","Dial-Up",NA,NA,"(6,8]",44,"White","College",3,"(40,57]","Male","Repubican"
"410","Dial-Up",0,0,"(4,6]",40,"White","College",1,"[18,40]","Female","Repubican"
"411",NA,0,0,NA,52,"White","HS or Less",1,"(40,57]","Male","Repubican"
"412","High Speed",NA,NA,"(4,6]",20,"Non-Whte","Some College",2,"[18,40]","Female","Democrat"
"413","High Speed",0,0,"(6,8]",39,"White","College",2,"[18,40]","Female","Democrat"
"414","Dial-Up",NA,NA,NA,62,"White","College",1,"(57,86]","Female","Repubican"
"415",NA,NA,NA,"[1,4]",72,"White","HS or Less",1,"(57,86]","Female","Repubican"
"416",NA,NA,NA,"[1,4]",29,"Non-Whte","HS or Less",3,"[18,40]","Female","Democrat"
"417","Dial-Up",NA,NA,"(6,8]",35,"Non-Whte","College",1,"[18,40]","Male","Independent"
"418",NA,NA,NA,NA,80,"Non-Whte","HS or Less",3,"(57,86]","Female","Democrat"
"419",NA,NA,NA,"[1,4]",32,"White","HS or Less",2,"[18,40]","Male","Repubican"
"420",NA,NA,NA,"[1,4]",67,"White","HS or Less",1,"(57,86]","Male","Independent"
"421","Dial-Up",NA,NA,"(6,8]",58,"White","College",1,"(57,86]","Male","Independent"
"422","High Speed",NA,NA,"(6,8]",28,"White","College",1,"[18,40]","Male","Repubican"
"423","High Speed",0,0,"(6,8]",32,"White","College",1,"[18,40]","Male","Repubican"
"424","High Speed",NA,NA,"(6,8]",50,"White","Some College",1,"(40,57]","Female","Independent"
"425","High Speed",NA,NA,"(4,6]",58,"White","College",1,"(57,86]","Male","Repubican"
"426","Dial-Up",0,0,"(4,6]",44,"White","Some College",1,"(40,57]","Male","Independent"
"427",NA,NA,NA,NA,65,"White","HS or Less",1,"(57,86]","Female","Independent"
"428",NA,NA,NA,"(6,8]",54,"White","HS or Less",1,"(40,57]","Male","Repubican"
"429","Dial-Up",NA,NA,"[1,4]",25,"White","Some College",1,"[18,40]","Male","Repubican"
"430",NA,0,0,"(4,6]",30,"White","Some College",2,"[18,40]","Male","Democrat"
"431","Dial-Up",0,0,"[1,4]",40,"White","HS or Less",1,"[18,40]","Female","Independent"
"432",NA,NA,NA,"[1,4]",20,"White","HS or Less",4,"[18,40]","Female","Independent"
"433","Dial-Up",NA,NA,"[1,4]",53,"White","College",1,"(40,57]","Female","Independent"
"434","High Speed",0,0,"(6,8]",36,"Non-Whte","College",1,"[18,40]","Female","Democrat"
"435",NA,NA,NA,"[1,4]",51,"Non-Whte","HS or Less",2,"(40,57]","Male","Independent"
"436","Dial-Up",0,0.5,"[1,4]",34,"White","Some College",1,"[18,40]","Female","Democrat"
"437","High Speed",NA,NA,"(4,6]",45,"Non-Whte","College",2,"(40,57]","Female","Democrat"
"438",NA,NA,NA,NA,47,"Non-Whte","HS or Less",1,"(40,57]","Female","Independent"
"439",NA,NA,NA,NA,51,"Non-Whte","Some College",1,"(40,57]","Male","Democrat"
"440",NA,NA,NA,NA,18,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"441","High Speed",0,0,"(4,6]",32,"White","Some College",3,"[18,40]","Male","Repubican"
"442",NA,NA,NA,NA,23,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"443","Dial-Up",NA,NA,"[1,4]",65,"White","HS or Less",1,"(57,86]","Female","Democrat"
"444",NA,NA,NA,NA,75,"White","HS or Less",1,"(57,86]","Male","Democrat"
"445",NA,NA,NA,NA,63,"White","HS or Less",4,"(57,86]","Female","Independent"
"446","High Speed",0,0,"(6,8]",30,"White","College",2,"[18,40]","Female","Repubican"
"447","High Speed",0,0,"[1,4]",23,"White","HS or Less",2,"[18,40]","Female","Independent"
"448",NA,NA,NA,NA,23,"Non-Whte",NA,3,"[18,40]","Male","Independent"
"449",NA,0,0,"[1,4]",50,"White","College",1,"(40,57]","Male","Repubican"
"450",NA,NA,NA,"(4,6]",64,"White","Some College",2,"(57,86]","Female","Democrat"
"451",NA,NA,NA,NA,60,"White","HS or Less",2,"(57,86]","Male","Democrat"
"452","High Speed",0,0,"[1,4]",62,"White","Some College",2,"(57,86]","Female","Independent"
"453",NA,NA,NA,NA,67,"White","HS or Less",1,"(57,86]","Female","Independent"
"454","High Speed",NA,NA,"(6,8]",49,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"455","High Speed",0.5,0.5,"(4,6]",29,"White","Some College",1,"[18,40]","Male","Repubican"
"456",NA,NA,NA,NA,43,"Non-Whte","HS or Less",4,"(40,57]","Male","Independent"
"457","High Speed",0.5,1,"(6,8]",31,"White","College",1,"[18,40]","Male","Repubican"
"458",NA,NA,NA,"[1,4]",40,"White","HS or Less",2,"[18,40]","Male","Democrat"
"459",NA,NA,NA,NA,38,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"460","High Speed",0,0,"(6,8]",45,"Non-Whte","College",1,"(40,57]","Male","Independent"
"461",NA,NA,NA,NA,32,"White","HS or Less",1,"[18,40]","Male","Repubican"
"462",NA,NA,NA,NA,92,"White","HS or Less",2,NA,"Female","Democrat"
"463","Dial-Up",0,0,"(6,8]",60,"White","College",1,"(57,86]","Male","Repubican"
"464",NA,NA,NA,"[1,4]",71,"Non-Whte","Some College",1,"(57,86]","Female","Democrat"
"465",NA,NA,NA,"[1,4]",30,"Non-Whte","HS or Less",4,"[18,40]","Female","Democrat"
"466",NA,NA,NA,NA,NA,"Non-Whte",NA,1,NA,"Female","Independent"
"467",NA,NA,NA,"[1,4]",87,"White","College",1,NA,"Male","Democrat"
"468",NA,NA,NA,"[1,4]",22,"Non-Whte","HS or Less",2,"[18,40]","Female","Democrat"
"469",NA,NA,NA,"(4,6]",84,"White","College",1,"(57,86]","Male","Repubican"
"470","High Speed",0,0,"(4,6]",51,"White","College",1,"(40,57]","Male","Democrat"
"471","Dial-Up",NA,NA,NA,53,"White","HS or Less",1,"(40,57]","Female","Independent"
"472",NA,NA,NA,NA,57,"White","HS or Less",1,"(40,57]","Female","Democrat"
"473",NA,NA,NA,"[1,4]",29,"White","HS or Less",1,"[18,40]","Male","Repubican"
"474",NA,NA,NA,"(4,6]",NA,"White","HS or Less",2,NA,"Male","Repubican"
"475",NA,NA,0,"(4,6]",39,"White","HS or Less",3,"[18,40]","Male","Repubican"
"476","Dial-Up",NA,NA,"(4,6]",60,"White","College",2,"(57,86]","Male","Repubican"
"477",NA,NA,NA,"(6,8]",53,"White","HS or Less",1,"(40,57]","Male","Repubican"
"478","Dial-Up",0,0,"[1,4]",33,"Non-Whte","Some College",1,"[18,40]","Male","Independent"
"479",NA,NA,NA,"[1,4]",78,"White","HS or Less",3,"(57,86]","Male","Repubican"
"480","High Speed",0,0,NA,61,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"481","High Speed",NA,NA,"(4,6]",32,"White","College",4,"[18,40]","Female","Independent"
"482","Dial-Up",0,0,"(6,8]",39,"White","College",1,"[18,40]","Female","Repubican"
"483",NA,NA,NA,NA,43,"White","HS or Less",1,"(40,57]","Female","Independent"
"484",NA,NA,NA,"(6,8]",64,"White","HS or Less",1,"(57,86]","Female","Repubican"
"485",NA,NA,NA,"[1,4]",73,"White","HS or Less",1,"(57,86]","Male","Repubican"
"486",NA,NA,NA,"[1,4]",48,"Non-Whte","HS or Less",2,"(40,57]","Male","Independent"
"487",NA,NA,NA,"[1,4]",60,"Non-Whte","HS or Less",1,"(57,86]","Female","Democrat"
"488","High Speed",NA,NA,"(6,8]",58,"White","College",1,"(57,86]","Female","Democrat"
"489",NA,NA,NA,NA,60,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"490","Dial-Up",NA,NA,"[1,4]",24,"White","HS or Less",1,"[18,40]","Female","Independent"
"491","Dial-Up",NA,NA,"(4,6]",45,"White","College",1,"(40,57]","Male","Repubican"
"492","High Speed",NA,NA,"(6,8]",38,"White","HS or Less",1,"[18,40]","Female","Repubican"
"493","High Speed",NA,NA,"[1,4]",50,"White","HS or Less",1,"(40,57]","Female","Independent"
"494","Dial-Up",NA,NA,NA,45,"White","HS or Less",2,"(40,57]","Female","Independent"
"495",NA,NA,NA,"[1,4]",61,"White","HS or Less",2,"(57,86]","Female","Democrat"
"496",NA,0,0,"[1,4]",68,"White","HS or Less",1,"(57,86]","Male","Repubican"
"497",NA,NA,NA,"[1,4]",77,"White","HS or Less",1,"(57,86]","Female","Independent"
"498",NA,NA,NA,"[1,4]",56,"Non-Whte","Some College",NA,"(40,57]","Male","Independent"
"499","High Speed",NA,NA,"(6,8]",37,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"500","Dial-Up",NA,NA,"[1,4]",70,"White","HS or Less",1,"(57,86]","Female","Repubican"
"501","High Speed",1,1,"(6,8]",53,"Non-Whte","College",1,"(40,57]","Female","Democrat"
"502","Dial-Up",NA,NA,"[1,4]",74,"White","HS or Less",1,"(57,86]","Female","Democrat"
"503","Dial-Up",NA,NA,"(6,8]",58,"White","College",1,"(57,86]","Female","Repubican"
"504",NA,NA,NA,"[1,4]",84,"White","Some College",1,"(57,86]","Female","Repubican"
"505","Dial-Up",0,0,"(6,8]",50,"White","College",1,"(40,57]","Male","Democrat"
"506",NA,NA,NA,"[1,4]",22,"Non-Whte","Some College",4,"[18,40]","Female","Democrat"
"507",NA,NA,NA,"[1,4]",32,"Non-Whte","Some College",1,"[18,40]","Female","Democrat"
"508",NA,NA,NA,"(6,8]",71,"White","College",1,"(57,86]","Male","Repubican"
"509","Dial-Up",NA,NA,"(4,6]",34,"Non-Whte","College",2,"[18,40]","Male","Independent"
"510","Dial-Up",NA,NA,"[1,4]",82,"White","College",1,"(57,86]","Female","Democrat"
"511","Dial-Up",0,0,"[1,4]",29,"White","HS or Less",1,"[18,40]","Male","Independent"
"512",NA,0,0,"[1,4]",65,"White","HS or Less",2,"(57,86]","Female","Democrat"
"513","Dial-Up",NA,NA,NA,38,"White","College",2,"[18,40]","Male","Repubican"
"514","Dial-Up",NA,NA,"(6,8]",52,"White","College",1,"(40,57]","Female","Democrat"
"515","High Speed",0,0,"(4,6]",41,"White","College",1,"(40,57]","Female","Democrat"
"516","Dial-Up",0,0,"[1,4]",59,"White","College",1,"(57,86]","Female","Democrat"
"517",NA,NA,NA,"[1,4]",47,"White","Some College",2,"(40,57]","Female","Repubican"
"518",NA,NA,NA,"(6,8]",41,"White","HS or Less",2,"(40,57]","Female","Democrat"
"519",NA,NA,NA,NA,73,"White","Some College",1,"(57,86]","Female","Repubican"
"520",NA,NA,NA,"[1,4]",52,"White","HS or Less",1,"(40,57]","Male","Independent"
"521","Dial-Up",NA,NA,"(4,6]",53,"White","HS or Less",2,"(40,57]","Female","Repubican"
"522",NA,NA,NA,"[1,4]",38,"White","HS or Less",1,"[18,40]","Female","Democrat"
"523",NA,NA,NA,"[1,4]",75,"White","Some College",4,"(57,86]","Female","Independent"
"524","High Speed",0,0,"(4,6]",77,"White","College",1,"(57,86]","Male","Democrat"
"525","High Speed",0,0,"(6,8]",67,"White","College",1,"(57,86]","Male","Independent"
"526",NA,NA,NA,"(6,8]",NA,"White","College",1,NA,"Female","Independent"
"527",NA,NA,NA,"[1,4]",35,"Non-Whte","HS or Less",1,"[18,40]","Male","Democrat"
"528",NA,NA,NA,NA,80,"White","HS or Less",1,"(57,86]","Male","Democrat"
"529","High Speed",0,0,"(4,6]",45,"Non-Whte","Some College",1,"(40,57]","Female","Independent"
"530",NA,NA,NA,"(4,6]",78,"White","HS or Less",1,"(57,86]","Female","Repubican"
"531","High Speed",0,0,"(6,8]",36,"White","College",1,"[18,40]","Female","Repubican"
"532","Dial-Up",NA,NA,NA,49,"Non-Whte","College",4,"(40,57]","Female","Independent"
"533","High Speed",NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Female","Repubican"
"534","High Speed",NA,NA,"(6,8]",54,"White","College",2,"(40,57]","Male","Repubican"
"535",NA,NA,NA,NA,66,"White","Some College",2,"(57,86]","Female","Repubican"
"536",NA,NA,NA,"[1,4]",75,"White","HS or Less",1,"(57,86]","Female","Repubican"
"537","High Speed",NA,NA,"(6,8]",48,"White","College",1,"(40,57]","Female","Repubican"
"538",NA,NA,NA,"(4,6]",43,"White","HS or Less",4,"(40,57]","Male","Independent"
"539","High Speed",0,0,"[1,4]",65,"White","Some College",1,"(57,86]","Female","Repubican"
"540","Dial-Up",0,0,"(4,6]",19,"Non-Whte","Some College",1,"[18,40]","Male","Independent"
"541","Dial-Up",NA,NA,"[1,4]",27,"Non-Whte","College",1,"[18,40]","Male","Democrat"
"542",NA,NA,NA,NA,27,"Non-Whte","College",1,"[18,40]","Male","Democrat"
"543","Dial-Up",NA,NA,"(6,8]",30,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"544",NA,NA,NA,"[1,4]",61,"White","HS or Less",1,"(57,86]","Female","Democrat"
"545","Dial-Up",0,0,NA,49,"White","College",1,"(40,57]","Female","Repubican"
"546",NA,NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Repubican"
"547","High Speed",NA,NA,"(6,8]",36,"White","Some College",2,"[18,40]","Female","Repubican"
"548",NA,NA,NA,NA,37,"White","HS or Less",4,"[18,40]","Female","Repubican"
"549","Dial-Up",NA,NA,"(4,6]",34,"White","Some College",3,"[18,40]","Female","Repubican"
"550","High Speed",NA,NA,NA,49,"White","Some College",1,"(40,57]","Male","Democrat"
